t,F_0=0.015 C_vv(t),F_0=0.015 stdv C_vv(t),F_0=0.03 C_vv(t),F_0=0.03 stdv C_vv(t),F_0=0.045 C_vv(t),F_0=0.045 stdv C_vv(t),F_0=0.06 C_vv(t),F_0=0.06 stdv C_vv(t),F_0=0.075 C_vv(t),F_0=0.075 stdv C_vv(t),F_0=0.105 C_vv(t),F_0=0.105 stdv C_vv(t),F_0=0.135 C_vv(t),F_0=0.135 stdv C_vv(t)
170.0,0.19887485739794727,0.0267741673112179,0.2801402168440422,0.04425683437230535,0.3445109725955386,0.02539705467802834,0.24071904892128568,0.010405103686112116,0.187385781604749,0.013095093814458387,NaN,NaN,NaN,NaN
172.5,0.19734278538042194,0.02769841734293049,0.2789555562425352,0.04372209909939769,0.3420319270161314,0.025106159786836318,0.23825023560406655,0.010122562202071023,0.18507058325097786,0.012406058868375877,NaN,NaN,NaN,NaN
175.0,0.1955991638881503,0.02779930100550578,0.27651785384855,0.04392249568110224,0.3392803723191456,0.02372718476485582,0.2361534026740885,0.010559730209490291,0.1836036504007823,0.012276612791300127,NaN,NaN,NaN,NaN
177.5,0.19401798871840406,0.028340200910070223,0.2754874579600127,0.043455201325657916,0.3370920637833058,0.023750459481622722,0.23270210639272534,0.011118425645201043,0.1823480794220558,0.012834144648025424,NaN,NaN,NaN,NaN
180.0,0.1916028065866828,0.027767073493563235,0.2740403756806342,0.043002377770177506,0.33512257134831025,0.02419554156714179,0.23086756140573397,0.010307630781701499,0.180666475565738,0.012074602247586639,NaN,NaN,NaN,NaN
182.5,0.19024847146944543,0.027239097808967844,0.27086450849374655,0.043911669837052934,0.3321175724523079,0.024039618516945353,0.22841221410321766,0.010030616151729344,0.17853588435840578,0.012408741306905995,NaN,NaN,NaN,NaN
185.0,0.1883602945293942,0.02877375390014149,0.268595820445861,0.04439311334789728,0.33023156269053455,0.023845869942664317,0.2262999718509316,0.009983116682224695,0.17631475587598816,0.012050967551517943,NaN,NaN,NaN,NaN
187.5,0.1859786909215151,0.029350082133346552,0.2682263422422465,0.044773313362215336,0.3276309601155033,0.02474580076817761,0.22441117903823962,0.009460858628388946,0.17537618969578184,0.010625595983520215,NaN,NaN,NaN,NaN
190.0,0.18437782700193103,0.029400085462080252,0.2670025726566532,0.04420581386454648,0.32497659106119975,0.02502668456121483,0.22210715640901638,0.009718301028456312,0.17334187238858234,0.011506121805427798,NaN,NaN,NaN,NaN
192.5,0.18282894996421245,0.028181885151069112,0.2662334002207863,0.044901852534887696,0.32282292120002154,0.024128728799053933,0.22033892864906543,0.009585449057682036,0.17265107733381593,0.011493222383496171,NaN,NaN,NaN,NaN
195.0,0.18230844513324462,0.02908483640381184,0.2653644587429533,0.04549873749098605,0.32107417414775885,0.024313764860635956,0.21793158531932738,0.00920912706526832,0.17095449655251807,0.012096717659781684,NaN,NaN,NaN,NaN
197.5,0.1807949956448304,0.02989563503932547,0.26421735884299385,0.04531298127115456,0.3185459360899086,0.024073283942328286,0.21606249829206017,0.00954561239823434,0.1695565293181547,0.012795489624653617,NaN,NaN,NaN,NaN
200.0,0.1791250779432438,0.03012804400503354,0.2630736538145467,0.04417628821752062,0.3166603932494,0.024536148410357745,0.21436307250200523,0.008951485888510809,0.16858320827052034,0.01299455586958815,NaN,NaN,NaN,NaN
202.5,0.1756009414717869,0.029333965609509273,0.26068037680611106,0.04431020062048091,0.3140141431488713,0.02486246834861724,0.2120436654324883,0.009434392937218795,0.16757641538630713,0.01217248576505059,NaN,NaN,NaN,NaN
205.0,0.17481684768119962,0.027165771045757757,0.2597492458352981,0.04374854912326924,0.3127117499351102,0.024926752191735183,0.21041801657142675,0.009058759700444247,0.16558730064085259,0.011657729316027472,NaN,NaN,NaN,NaN
207.5,0.1727663884664641,0.028686799376851684,0.2590881214130494,0.042896783970202725,0.3099162086648378,0.024636314586167513,0.20826847938613424,0.0087625455883285,0.1644707302288805,0.012127141062779723,NaN,NaN,NaN,NaN
210.0,0.17186015359889012,0.028145178393760028,0.2585248800161105,0.04366969953469596,0.3077449888909221,0.02355291397827228,0.20663121357756603,0.00892689347004815,0.16301781082539668,0.012325462365271935,NaN,NaN,NaN,NaN
212.5,0.1714398744924029,0.0295331800253862,0.25671311867554414,0.045087454926820474,0.3053171405539628,0.023852895712449543,0.20506203296870598,0.008695635743027723,0.1616123732649973,0.01197284079346478,NaN,NaN,NaN,NaN
