t,tau_V=0.1 C_vv(t),tau_V=0.1 stdv C_vv(t),tau_V=0.5 C_vv(t),tau_V=0.5 stdv C_vv(t),tau_V=1.0 C_vv(t),tau_V=1.0 stdv C_vv(t),tau_V=2.0 C_vv(t),tau_V=2.0 stdv C_vv(t),tau_V=5.0 C_vv(t),tau_V=5.0 stdv C_vv(t),tau_V=10.0 C_vv(t),tau_V=10.0 stdv C_vv(t),tau_V=20.0 C_vv(t),tau_V=20.0 stdv C_vv(t),tau_V=50.0 C_vv(t),tau_V=50.0 stdv C_vv(t),tau_V=100.0 C_vv(t),tau_V=100.0 stdv C_vv(t),tau_V=200.0 C_vv(t),tau_V=200.0 stdv C_vv(t),tau_V=500.0 C_vv(t),tau_V=500.0 stdv C_vv(t),tau_V=1000.0 C_vv(t),tau_V=1000.0 stdv C_vv(t)
670.0,0.0007483363728756829,0.0025626971108556914,0.0007079397174547921,0.0026801430110705844,4.379767291453904e-5,0.0023119410918974754,-0.00025716409463018313,0.001708885538537728,0.0008110358947799216,0.0029258866615163256,-0.00043558543318778734,0.002604632140074498,0.0008815808525640724,0.0024084095414732072,0.0009832138411024097,0.0026215904954640062,0.00014202999516720814,0.002373633338374351,0.0014369242182009673,0.003360856907775654,0.0352861759553662,0.0033650049615405373,0.0696311557587103,0.010194889551458855
680.0,-0.00044603225607840107,0.0031436459036226637,-0.0005470120889864493,0.0027304122386275875,0.0007918358100813949,0.00208079680057249,0.0006914614625952608,0.002197761305494265,0.001120376496252917,0.003280238280328121,-0.00036350300250115455,0.002432893673364962,-1.7844033262555837e-5,0.0023878446774278418,-0.00039329893830111095,0.0017230951267810568,-0.00013045966551137984,0.002395165891582563,0.0017990089722186885,0.004308680791108413,0.03509685670827281,0.00337907432908224,0.06866785985587474,0.009410590431845113
690.0,0.001149608615459453,0.002004874856985766,0.0013528061625757459,0.003021087687902455,0.0011991627194375078,0.004002414717664276,-0.0005489203167356722,0.0017913045123571097,-0.0007980812248586588,0.0023380131798870613,-0.0002455004904701614,0.002550239014880091,0.0006261728593634729,0.0018784767493932632,0.0008023298270975678,0.0026757936404080015,-0.00012768333352004594,0.0018378962730966647,0.002962344015926969,0.004176466329981404,0.03344516120047465,0.004843949875450263,0.0671313628224162,0.008383509605821966
700.0,0.0022429792494807156,0.002478758378706455,-0.0010708652758439456,0.0034475462799232644,0.0019785258345595613,0.0025986755188241047,-0.0003021479794049385,0.003067320666298175,-0.0009155601058616295,0.003001936127794147,-5.064942810061985e-5,0.0021047344232779943,0.0009443826975299066,0.0015141756729322472,0.0012766649323669773,0.0031862825336155336,-0.0004717285542375115,0.0012830561695560039,0.0025502419856367727,0.003738918819211632,0.031830103561054646,0.005241464865351958,0.06701773003256499,0.00800833612972235
710.0,0.0007004636587644179,0.002830349170481984,0.0004909247530544642,0.0018175000966212864,-0.0012588622079323297,0.0021737275190656644,0.0012614748500492945,0.0028398758257181154,-0.0006731779635920113,0.0020253602503693515,-0.00011383121536740916,0.0023232586634276704,2.6377372034703434e-5,0.0026244262459642464,-0.0007795468667591372,0.0019260867459294224,-0.0005093750373723182,0.0018129760745652958,0.0014956452074644726,0.00398624801023538,0.03209104603379589,0.0042299600835768916,0.06622268250476163,0.00840668345997216
720.0,0.00018315247001456577,0.004400521661440144,0.00022811881201635067,0.0024247609807064997,-0.0006956863903976307,0.0025006085698915095,-0.0015691362269484894,0.0022755852024349548,0.001528664749122583,0.0022673667650474016,0.0012150058168566296,0.001944369463203921,-0.00017755634597682243,0.003368210977362892,-0.0013456590196562427,0.0022886624154866884,-0.0004308258328308906,0.0023031645486698117,0.0014667736015054574,0.002151479653677762,0.03175649969089641,0.004330970758065649,0.06554255668464835,0.00931991171752708
730.0,0.0008630644723430362,0.0011576352708174821,0.00018661164157548221,0.0021044612793250737,0.000260165737929071,0.0031342046320384964,-0.0010303001267458205,0.002786457180407123,0.0009069124360905189,0.0014790570565978312,-0.0007015707667055012,0.001434086818929899,0.00018989426523090096,0.0015755561479561372,-0.0019645082967927265,0.0037274560328694295,-0.00021955749433869845,0.0026602925614386376,0.001978309409418346,0.0023265278865232217,0.03073795191246863,0.003625675109291062,0.06490720516299073,0.008724259947809595
740.0,-9.20286420975983e-5,0.0028318285173680115,0.0006999338444563842,0.0035234676354293326,-0.00012305973104644177,0.003365778296001584,-0.0007614986393199377,0.003099050581359467,0.0004431272378753664,0.0027839065017870386,-0.0008174311291998781,0.0025408425386318485,0.0009775880424845596,0.0016834752592881884,-0.0014737852446379456,0.003869476976098488,-0.00037708557613701926,0.0039025837239650696,0.00160478078331444,0.0020787984263323294,0.030191894790642226,0.00434970071827986,0.06313985690282606,0.00805929368154747
750.0,-0.0004174166413825287,0.0031661160929909076,0.0017912240116170872,0.0024919022071972596,-0.0021541812280761303,0.0022994070934405156,-0.0008907383707963814,0.001835065661948389,-0.0006029592123442376,0.0027654796958707308,0.00044978778309010903,0.002784342304972306,-0.001191673282515854,0.0019234612584285212,-0.0004353550894322817,0.0019613337806148943,0.00012078929564088479,0.0027561369457047118,0.0034427401915173893,0.0027114372328237465,0.028635108905423572,0.005102977926013732,0.06302256709852651,0.00804797320600563
760.0,0.0006350894846238449,0.0028740497108767195,0.0008413378223936336,0.0035635405062090773,-0.0004355563539499006,0.0030770773223960917,-0.00021908468530690907,0.0015881506815886913,-0.00016111879149849234,0.0015961127730524122,0.0009147587357871713,0.0022301210879827004,4.6265113416634745e-5,0.002239902321358459,-0.0004517428013350104,0.0023137957416861565,0.0005764178989721756,0.0022528120446985074,0.0029297445172326198,0.0020739706893997986,0.02869722883118366,0.004731285068479288,0.062146993441759384,0.007583949189791952
