F_0,tau_V,MSD(2500),stdv MSD(2500),MSRD(500),stdv MSRD(500),MSRD(1000),stdv MSRD(1000),MSRD(2500),stdv MSRD(2500),MSRD diffusivity exponent,shape factor, stdv shape factor,aspect ratio,stdv aspect ratio,T1 rate,stdv T1 rate,P(l<l_c),stdv P(l<l_c),trapped edge lifetime,stdv trapped edge lifetime,T1 success rate,stdv T1 success rate,v^2,stdv v^2,correlation length,stdv correlation length,tau_eff,stdv tau_eff
0.015,500.0,2.935576308655823,1.8210835627666353,0.03870104491835101,0.002297568271496765,0.05966172937906475,0.005050096176511678,0.08011096959916707,0.009701549755429141,0.20360243440265835,3.7890446921536736,0.0034354499632076214,1.2711419680540172,0.009164272369739093,7.120000000000001e-6,2.1482809665197687e-6,0.0,0.0,0.0,0.0,1.0,0.0,9.39243618626408e-6,4.345887109476646e-7,2.5566451552060077,0.2458908342732615,48.596919598590624,2.2593222818800833
0.015,1000.0,3.9650118748347696,2.877059415614235,0.025236682918230346,0.00105560228120089,0.04504269810053066,0.0028790672578770456,0.07308703821275024,0.008020903748766062,0.4420351797549393,3.7906233733549306,0.0027325043429390398,1.2759112237348966,0.007345279386651129,4.5599999999999995e-6,1.5137884778117303e-6,0.0,0.0,0.0,0.0,1.0,0.0,5.925498734355915e-6,2.5011059174081224e-7,3.1764616559752765,0.4601723597180569,111.30811946815943,2.996474112115817
0.03,0.1,0.006367287643048998,0.0018815467324354894,0.001521859992971664,1.4334893887766026e-5,0.0015268997305516664,1.4536465097239287e-5,0.0015345097247990032,1.4111051482763015e-5,0.013655427261813452,3.760207060245194,0.0017484331007419796,1.1843473084062919,0.00573004141199431,0.0,NaN,0.0,0.0,NaN,NaN,NaN,NaN,0.00122112215637601,6.37471891377077e-7,0.280133577272291,0.005270016174607884,0.021706123540856846,0.005423496449456196
0.03,0.5,0.02967222260324201,0.008779907455274705,0.007145318524581665,8.396913998206349e-5,0.007207620030798672,0.00012239278248250382,0.007324015634574337,0.0001786759097678323,0.05725742943572676,3.763354845634344,0.0011720411885643618,1.194016204805014,0.003167636068131406,3.2e-7,2.280350850198276e-7,0.0,0.0,NaN,NaN,1.0,NaN,0.0010636548945601597,3.279337638371064e-7,0.3344955809521823,0.004706928723054328,0.0635415474555632,0.008622463168411457
0.03,1.0,0.057319500504873055,0.013879436390335231,0.013362160874601684,0.00022941616614329641,0.013436890994747343,0.00020353037210118865,0.013608095908460328,0.0002921794325335165,-0.01482841585051702,3.766911898551382,0.0016665967497832463,1.2035482246943132,0.005856569712172502,5.000000000000001e-7,1.6996731711975946e-7,0.0,0.0,0.0,0.0,1.0,0.0,0.0009478565459345599,7.388923154384715e-7,0.3676468638569278,0.005303244216838312,0.12620284073866828,0.00880522651003357
0.03,2.0,0.10825044851115008,0.015401140987677395,0.024150620669056006,0.0003049893150335309,0.025080024978465645,0.0007188867758929974,0.027083137712867373,0.0014054429629278252,0.13864410142645697,3.76959182433317,0.0019999112193244666,1.2122979240387877,0.005897229748342019,3.6400000000000003e-6,9.179687721631203e-7,0.0,0.0,0.0,0.0,0.9285714285714286,0.18898223650461365,0.000804436664035659,4.283903184428241e-7,0.42410295043609086,0.005211414473904984,0.16466572352283268,0.014463678003253868
0.03,5.0,0.2876905592964591,0.0686135748965264,0.0517502758751083,0.0010609647768949257,0.05753319621428865,0.0020853948942044483,0.07255610926839044,0.004687619620781217,0.28138652567496364,3.7743252312945303,0.0010142695758465702,1.2275461476607135,0.0024129815442690285,2.72e-5,3.0998207833500445e-6,0.0,0.0,0.0,0.0,1.0,0.0,0.000592055076567791,9.825305232863496e-7,0.5358558453074501,0.00795872282180417,0.330757623319804,0.025316789726432424
0.03,10.0,0.5906065305868936,0.13406284784628902,0.09073671977657377,0.0018509622743169418,0.10849814129402306,0.0035658662243613607,0.15094412511987057,0.008411394584577509,0.3947186281627672,3.783452513425966,0.001193661424921144,1.2524028214924527,0.0028169532187565095,9.544e-5,6.202365140277808e-6,0.0,0.0,0.0,0.0,1.0,0.0,0.00043889549304433704,1.0175937273103334e-6,0.658023320387212,0.008728264818785992,0.5538249805212109,0.056419106067677124
0.03,20.0,1.3107392497124233,0.4429761228915673,0.16157516643187578,0.0044984229901134185,0.2176874084035123,0.008995823946766974,0.37283511504564965,0.0370509720519988,0.6664808276795035,3.8005455421968306,0.0012930359434864932,1.29190673977905,0.0022670579055930192,0.00027448,1.7925574529766744e-5,0.0,0.0,0.0,0.0,0.9987341772151899,0.004002883114137176,0.00031305369384781437,1.2714136947984337e-6,0.8099342688706805,0.012399481599589493,1.0749858144805169,0.09213455960295486
0.03,50.0,3.8682004962095156,0.64693673799283,0.33599227538987814,0.018651341289346958,0.5399481930535942,0.04342448527319539,1.2039343813710555,0.11537307198845255,0.9710639594492512,3.8288814512256395,0.0009914784645862155,1.3508011750231765,0.002354513262921263,0.00063152,2.477296016941771e-5,0.0,0.0,0.0,0.0,0.999492385786802,0.0016052170863798928,0.00019614486738613428,1.8845844062136218e-6,1.0851753419826788,0.03411677459283838,4.315944670422334,0.12462670456161408
