bin left,bin right,bin mean,tau_T=0.1 P(l),tau_T=0.1 stdv P(l),tau_T=1.0 P(l),tau_T=1.0 stdv P(l),tau_T=2.0 P(l),tau_T=2.0 stdv P(l),tau_T=5.0 P(l),tau_T=5.0 stdv P(l),tau_T=10.0 P(l),tau_T=10.0 stdv P(l),tau_T=20.0 P(l),tau_T=20.0 stdv P(l),tau_T=50.0 P(l),tau_T=50.0 stdv P(l),tau_T=100.0 P(l),tau_T=100.0 stdv P(l),tau_T=500.0 P(l),tau_T=500.0 stdv P(l),tau_T=1000.0 P(l),tau_T=1000.0 stdv P(l)
0.06,0.07,0.065,0.0006649999999999994,5.810271874814395e-5,0.08128366666666659,0.0021903545290575576,0.14675599999999986,0.0011245111969646038,0.19447166666666646,0.0009183886183533578,0.21172935660123032,0.0007140229711628587,0.22086084215455645,0.001147826012917042,0.22860801110416845,0.0007999954036832447,0.23621408199336968,0.0010358503035443286,0.244257181616428,0.0028215968664665626,0.20854906034230952,0.004339726090592258
0.07,0.08,0.07500000000000001,0.0009336666666666672,8.242392676707238e-5,0.09106533333333339,0.0023235542166110254,0.1643860000000001,0.001178417855421117,0.2168446666666668,0.0011015916655144327,0.23637735932556497,0.0010426296394760877,0.24638270580738317,0.001112194254798098,0.2554080223769617,0.0012124003405036897,0.2633632865047249,0.0011971649158258335,0.2711985349614181,0.0031393403090106495,0.23543440139197763,0.0042070309898920326
0.08,0.09,0.08499999999999999,0.0011870000000000006,5.184140106321909e-5,0.10109700000000006,0.0029432745894058155,0.18200366666666676,0.0008232162909760699,0.23907400000000015,0.000741276509945874,0.2600540285958992,0.0009352882997416194,0.27147790255357973,0.0014704625467240554,0.28047636570743345,0.0011888954206437888,0.2881066548901565,0.0017459207609036309,0.2979708881837516,0.003976557051904058,0.26063474167757805,0.00386738141482828
0.09,0.1,0.095,0.0015569999999999987,7.391102425330626e-5,0.11053933333333324,0.0031832737244758343,0.19694899999999982,0.0010801166489359585,0.2593069999999998,0.0007154700604549502,0.2823990311415331,0.00110019067273852,0.293994209238639,0.0011720084982784706,0.30437095878757114,0.0013581087243912915,0.3116266876371627,0.002164177687791227,0.321140904903557,0.00411470035160333,0.2837397480422546,0.004522117792161202
0.1,0.15,0.125,0.0035182000000000004,0.00012442382765728152,0.14264380000000004,0.0037415046560652612,0.24669820000000003,0.0010699111789602882,0.3215518000000001,0.0012102733106285383,0.3500828385425515,0.0005542195501799718,0.36318312991073726,0.0010991649757322436,0.37413048793791626,0.0010449144434302583,0.3823017872909945,0.001376464076710873,0.3925766251936107,0.002921339032925251,0.35323383430791355,0.004825824128984799
0.15,0.2,0.175,0.011781799999999997,0.00032836520619879226,0.20689973333333328,0.005248832506988553,0.3356642666666666,0.0012978403029078197,0.4270327999999998,0.0008289712678753994,0.46347011767126467,0.0008577454179822943,0.48048281327804165,0.001114529163747454,0.49370912054443783,0.0018052548184514649,0.5010670380232862,0.0025618881728218987,0.5093044454472923,0.002958799177314045,0.4696534007283204,0.005484133310714743
0.2,0.25,0.225,0.035577333333333336,0.0008339331174887143,0.29275046666666676,0.006434881825154498,0.4379739333333334,0.0014916589968766256,0.5355316666666669,0.001353405772554997,0.5768011967303427,0.000956282753336118,0.5979444228715716,0.0018742965348524589,0.6138993361206092,0.00198260159514077,0.6217520396863319,0.0026537664383602974,0.6256008649315734,0.0030759049386156153,0.5892521671351613,0.004497158012858839
0.25,0.3,0.275,0.09580073333333335,0.00233175899163308,0.40829206666666684,0.0072394515886014315,0.5575437333333335,0.0010866307287854245,0.6513764666666667,0.0009856051872758954,0.6920248094080205,0.0011240288422096807,0.7165221069220031,0.001857934149047233,0.7349261362324516,0.0019201956457279485,0.742376625648187,0.0023403459607433982,0.742906286126525,0.003303889944634454,0.713571602185463,0.0043707346189709685
0.3,0.35,0.32499999999999996,0.2265512666666667,0.005412425516380843,0.5609187333333334,0.007471729172993896,0.6953508000000002,0.000899008111857269,0.7718883333333335,0.0014680503321677126,0.8064956887305229,0.0015425423987706782,0.8300509736079529,0.001678618017401863,0.8483091831488286,0.0010012302555179162,0.8562997031861678,0.0027433129985726004,0.8522998330439743,0.0027815914207102517,0.8369361030578298,0.0027753241227344598
0.35,0.4,0.375,0.4691559999999996,0.012212101668447307,0.7569071999999993,0.006782845892396493,0.8500262666666659,0.0008103001851927705,0.896035999999999,0.0014826960428744379,0.9191942344424573,0.001311523276373278,0.9385366532399048,0.0008558656956295688,0.9542666431700415,0.001655925892605217,0.9600990160582149,0.0019212421039559778,0.9515547729347249,0.002215333254183304,0.9527380692708982,0.0030294550487753474
