t,Delta T=0.05 C_vv(t),Delta T=0.05 stdv C_vv(t),Delta T=0.1 C_vv(t),Delta T=0.1 stdv C_vv(t),Delta T=0.15 C_vv(t),Delta T=0.15 stdv C_vv(t),Delta T=0.2 C_vv(t),Delta T=0.2 stdv C_vv(t),Delta T=0.225 C_vv(t),Delta T=0.225 stdv C_vv(t),Delta T=0.25 C_vv(t),Delta T=0.25 stdv C_vv(t),Delta T=0.3 C_vv(t),Delta T=0.3 stdv C_vv(t)
330.0,-0.0018999348376906645,0.0020698440952445826,-0.0017701595811846636,0.004599675788807614,-0.0013156791189651747,0.0035287698113536476,-0.0002523900496402725,0.0034517159517574096,0.0014589947071940157,0.002890468523692638,0.0010683817593994563,0.002230412459278791,-0.001034450527152222,0.0019787799732975176
335.0,-0.0033616506461951515,0.001664836543286224,-0.002911448177137914,0.002374218716799528,-0.0020354003965699424,0.003076089552684403,0.001000329082417019,0.003028438415157425,0.001193314533394147,0.0025868875131834553,-0.00068391771083284,0.0017814344370853206,0.0006878655148348256,0.00360339251074892
340.0,-0.004023349553465406,0.0034792666224827853,-0.0029112648575161156,0.004993502205084651,-0.0016178478504808823,0.003629968166030568,0.0010976236597680135,0.0032524962077586776,0.00215235738745276,0.001986049378308595,0.0003137480071364552,0.0037679585154169757,0.0007620386052934909,0.0030901261390780836
345.0,-0.0030213158842877985,0.002893111853097079,-0.0025357313590172502,0.002977006272798341,-0.0024024426772261335,0.0021352079298365308,0.00037308772277685765,0.0032657884043172524,0.0010923535180873676,0.003127047645464685,0.000758162183475734,0.0015364641952660787,0.0005312221406334747,0.002273149610651511
350.0,-0.0024902624261207906,0.002668242740123491,-0.0026205194684132136,0.0030175945593219483,-0.002036574046519217,0.0029045023311165203,0.0017119990924520444,0.0027595767340524396,-0.0005665382814285297,0.003280040608766889,4.1668230566503235e-5,0.002395586016137995,0.0004239200376456863,0.0023000156999440084
355.0,-0.0026026070539406235,0.0027011364879462535,-0.0021388887337166753,0.0021863610573011317,-0.0011008406465078829,0.003746247855177159,0.0007964715646595523,0.003600348391357629,0.000169203068131403,0.0029438699610698257,0.0006104067288395124,0.004150731493479096,-0.0004602971906833207,0.0020115979948236743
360.0,-0.0038524507865229443,0.004043864548277,-0.0009694433933678826,0.0028827620028946104,-0.0016513122009222934,0.001916395158657534,0.001220764098574105,0.002376089029742758,0.0010412805383360978,0.0029200898875840087,0.0006982941167791472,0.0027248587816531725,0.000744069101827662,0.0030125703185187895
365.0,-0.00428209183443407,0.003112560164497132,-0.0023482989051657496,0.0037014797692422677,-0.0023498514337388665,0.003859216448608776,0.0013809060270203667,0.0031284211038483,0.0003363537534447403,0.0027072236733107096,0.0014949376733088726,0.0028139634912338085,0.0007560874660729807,0.0026165987986691494
370.0,-0.0029807734469754774,0.0027077541330674795,-0.0023866769804267137,0.0026769400126807185,-0.0026956006510632314,0.0036419820402848993,0.0017024332490041631,0.0020638993747862456,0.0012854103420261388,0.002808191047966419,-0.0001940222449288576,0.0028113718793947424,-0.00020302680584875524,0.0036791814308066904
375.0,-0.0032874205934725316,0.0031950391488144393,-0.0034034657203417264,0.0029594540873412374,-0.0018098492585019992,0.0033194377844081406,0.0005474491611048465,0.003034701953826519,-0.0003637401127968798,0.003014001290553028,0.0007598944169047731,0.0031476161641811563,8.196438733509368e-5,0.0022090734624849897
